name,quadrant,tier,author,description,tags,repo_url
mck-ppt-design,hollow-victory,production,Kaku,"McKinsey-grade PPT with full design system, 16+ layouts, typography hierarchy, python-pptx automation","ppt,design,automation,mckinsey,python-pptx,slides",https://github.com/likaku/Mck-ppt-design-skill
professional-speech,hollow-victory,production,Kaku,"Structured presentations using Pyramid Principle, SCQA, and Minto frameworks","speech,communication,storytelling,strategy,presentation",https://github.com/likaku/Mck-speech-design-skill
